2023-02-01,110787547@n,9,1,35600,5,2,2,2.384385459453446
2023-02-01,11083633@n,59,1,40700,4,4,4,4.0
2023-02-01,110903312@n,200,1,15400,2,1,1,1.1281284864844818
2023-02-01,110976590@n,168,1,40700,3,4,4,3.8718715135155177
2023-02-01,111216573@n,51,1,38800,5,3,3,3.2562569729689637
2023-02-01,111229290@n,69,1,17400,4,1,1,1.384385459453446
2023-02-01,111286578@n,23,1,33200,5,2,2,2.384385459453446
2023-02-01,11131171@n,11,1,15400,5,1,1,1.5125139459379278
2023-02-01,111353133@n,43,1,17400,5,1,1,1.5125139459379278
2023-02-01,111425071@n,281,1,17400,1,1,1,1.0
2023-02-01,11146372@n,137,2,151155,3,5,5,4.7437430270310355
2023-02-01,11149078@n,29,1,38700,5,3,3,3.2562569729689637
2023-02-01,111579067@n,226,2,74336,2,5,5,4.615614540546554
2023-02-01,111676180@n,48,1,15400,5,1,1,1.5125139459379278
2023-02-01,111690753@n,97,2,75400,4,5,5,4.871871513515518
2023-02-01,11176372@n,221,1,30900,2,2,2,2.0
2023-02-01,11186233@n,224,1,30900,2,2,2,2.0
2023-02-01,11200591@n,227,2,94600,2,5,5,4.615614540546554
2023-02-01,11202080@n,110,1,29800,4,2,2,2.2562569729689637
2023-02-01,11212291@n,11,2,48300,5,5,4,4.5485249352221055
2023-02-01,112145980@n,5,1,38700,5,3,3,3.2562569729689637
2023-02-01,112256518@n,181,1,13900,3,1,1,1.2562569729689639
2023-02-01,112555290@n,91,1,38700,4,3,3,3.128128486484482
2023-02-01,11257541@n,216,1,41100,2,4,4,3.743743027031036
2023-02-01,112599283@n,270,1,38700,1,3,3,2.7437430270310363
2023-02-01,11269919@n,6,1,15400,5,1,1,1.5125139459379278
2023-02-01,112799188@n,125,1,13500,3,1,1,1.2562569729689639
2023-02-01,11285800@n,260,1,39533,1,3,4,3.19521809180893
2023-02-01,112898034@n,200,1,50900,2,4,4,3.743743027031036
2023-02-01,11328873@n,164,1,30196,3,2,2,2.128128486484482
2023-02-01,113792127@n,14,1,32800,5,2,2,2.384385459453446
2023-02-01,11384980@n,172,1,42300,3,4,4,3.8718715135155177
2023-02-01,11385306@n,155,1,28800,3,1,2,1.707732037746858
2023-02-01,113934751@n,282,1,37028,1,3,3,2.7437430270310363
2023-02-01,114177924@n,0,2,56100,5,5,4,4.5485249352221055
2023-02-01,11422393@n,291,1,47200,1,4,4,3.615614540546554
2023-02-01,114295616@n,230,1,19300,1,1,1,1.0
2023-02-01,114412953@n,251,1,30900,1,2,2,1.871871513515518
2023-02-01,11450547@n,121,1,40700,4,4,4,4.0
2023-02-01,114614855@n,72,1,15400,4,1,1,1.384385459453446
2023-02-01,114749703@n,266,1,51600,1,4,4,3.615614540546554
2023-02-01,114778318@n,186,1,17400,3,1,1,1.2562569729689639
2023-02-01,11490034@n,27,1,38700,5,3,3,3.2562569729689637
2023-02-01,115096374@n,12,1,18800,5,1,1,1.5125139459379278
2023-02-01,115143500@n,196,1,38700,2,3,3,2.8718715135155177
2023-02-01,115357830@n,91,1,39576,4,3,4,3.579603551262376
2023-02-01,11550150@n,106,1,76400,4,4,5,4.451475064777894
2023-02-01,115523147@n,230,1,13900,1,1,1,1.0
2023-02-01,115638879@n,201,1,38700,2,3,3,2.8718715135155177
2023-02-01,115775788@n,172,1,36900,3,3,3,3.0
2023-02-01,115827749@n,191,2,65070,2,5,4,4.1641394757686605
2023-02-01,11586488@n,168,2,116100,3,5,5,4.7437430270310355
2023-02-01,115989990@n,223,1,39900,2,4,4,3.743743027031036
2023-02-01,116031755@n,47,1,38268,5,3,3,3.2562569729689637
2023-02-01,116084616@n,54,1,38800,5,3,3,3.2562569729689637
2023-02-01,11613249@n,160,1,33398,3,2,2,2.128128486484482
2023-02-01,116133012@n,227,1,11900,2,1,1,1.1281284864844818
2023-02-01,11621575@n,0,1,38700,5,3,3,3.2562569729689637
2023-02-01,11631865@n,159,1,44100,3,4,4,3.8718715135155177
