id,R,F,M,r_grade,f_grade,m_grade
115405625@n,60,1,49400.0,3,1,1
115441330@n,139,1,16900.0,2,1,1
11548134@n,121,1,31900.0,2,1,1
11550150@n,116,1,13900.0,2,1,1
115539670@n,35,1,13900.0,4,1,1
115554040@n,98,1,55700.0,3,1,2
115577465@n,116,1,35300.0,2,1,1
115644916@n,146,1,79800.0,2,1,2
11576582@n,104,1,38800.0,2,1,1
115880298@n,70,1,15500.0,3,1,1
11594112@n,36,1,38800.0,4,1,1
115983687@n,77,1,32400.0,3,1,1
115996385@n,28,1,62600.0,4,1,2
116089195@n,77,1,32400.0,3,1,1
11613249@n,79,2,71699.0,3,2,2
116166911@n,37,1,9900.0,4,1,1
116188490@n,112,1,11700.0,2,1,1
116211850@n,72,1,23300.0,3,1,1
11630212@n,9,1,11900.0,4,1,1
11630224@n,5,1,36900.0,4,1,1
116302470@n,99,1,38900.0,3,1,1
11631865@n,163,1,39500.0,1,1,1
11634872@n,74,1,33400.0,3,1,1
11645847@n,71,1,31520.0,3,1,1
116520103@n,76,1,29779.0,3,1,1
116560396@n,8,1,37900.0,4,1,1
11666974@n,170,1,60600.0,1,1,2
116774399@n,21,1,39900.0,4,1,1
11680220@n,79,1,40714.0,3,1,1
116928624@n,207,1,113002.0,1,1,3
11697571@n,207,1,35000.0,1,1,1
11702166@n,35,1,54200.0,4,1,2
117060571@n,80,5,157144.0,3,4,3
117065969@n,56,1,143500.0,3,1,3
11712616@n,83,1,31300.0,3,1,1
117139043@n,170,1,13900.0,1,1,1
117160900@n,197,2,46300.0,1,2,1
117191273@n,3,1,28300.0,4,1,1
11720403@n,115,1,49800.0,2,1,1
117320027@n,128,1,17900.0,2,1,1
11732536@n,204,1,53400.0,1,1,2
11733115@n,142,1,17900.0,2,1,1
11744644@n,217,1,34200.0,1,1,1
11749639@n,116,2,181150.0,2,2,3
11751797@n,21,1,10900.0,4,1,1
11754536@n,28,1,45800.0,4,1,1
11763063@n,86,1,40900.0,3,1,1
117735562@n,3,1,24900.0,4,1,1
11776555@n,217,1,73800.0,1,1,2
117821075@n,118,1,61800.0,2,1,2
11789314@n,185,1,40000.0,1,1,1
117913317@n,17,1,22100.0,4,1,1
117989277@n,35,1,24900.0,4,1,1
118002574@n,76,3,114355.0,3,3,3
118251827@n,82,1,41900.0,3,1,1
11839894@n,104,1,49800.0,2,1,1
11848146@n,102,1,57200.0,2,1,2
11850925@n,163,1,14900.0,1,1,1
118509722@n,71,2,45100.0,3,2,1
118647800@n,4,1,41000.0,4,1,1
118767825@n,134,1,15900.0,2,1,1
118783241@n,117,1,23000.0,2,1,1
118888756@n,70,1,32400.0,3,1,1
11898479@n,77,1,31300.0,3,1,1
119027211@n,125,1,41700.0,2,1,1
119106205@n,133,1,41900.0,2,1,1
11925565@n,77,1,32400.0,3,1,1
119418008@n,63,1,30300.0,3,1,1
1194789@n,127,1,51600.0,2,1,1
1194834@n,206,1,33200.0,1,1,1
119500749@n,163,1,37000.0,1,1,1
11964246@n,162,1,37100.0,1,1,1
119802548@n,96,2,60000.0,3,2,2
119935284@n,112,2,74800.0,2,2,2
1200948699@g,84,1,33900.0,3,1,1
120185622@n,79,1,16900.0,3,1,1
12021573@n,205,1,99065.0,1,1,2
12028179@n,211,1,35000.0,1,1,1
12038394@n,37,1,28900.0,4,1,1
12049956@n,201,1,30800.0,1,1,1
120687347@n,2,1,22100.0,4,1,1
