104668066@n,72,1,34000.000
10474157@n,163,2,57800.000
10477850@n,69,2,45100.000
10480436@n,68,1,32400.000
10482953@n,181,1,40900.000
1051867554@g,6,1,37900.000
10527017@n,2,1,36900.000
10558153@n,191,1,41000.000
10569049@n,167,1,12900.000
10580710@n,218,1,31400.000
10582416@n,92,1,82800.000
10598086@n,3,1,26405.000
106040033@n,127,1,54300.000
106246875@n,36,1,158200.000
10638839@n,128,1,49800.000
106415689@n,92,1,49800.000
106465767@n,103,1,11900.000
106512559@n,138,1,40900.000
106694931@n,71,1,33012.000
10671304@n,130,1,31900.000
10671536@n,208,1,35000.000
10722658@n,177,1,39400.000
10724107@n,218,1,16100.000
10724306@n,85,1,38800.000
10732962@n,172,1,62600.000
1074305@n,74,1,32700.000
107454028@n,195,1,43610.000
107543838@n,92,2,64100.000
10768980@n,195,1,17900.000
10786382@n,108,1,47600.000
10788213@n,45,1,102600.000
108118968@n,204,1,34000.000
10814605@n,139,1,40780.000
10827263@n,2,1,37000.000
108291950@n,65,1,113408.000
108304649@n,174,1,30800.000
10832841@n,218,1,113993.000
108342882@n,7,1,37900.000
10835930@n,180,1,38800.000
108418145@n,91,2,192691.000
10856158@n,14,1,40900.000
108581747@n,92,1,29900.000
1086136@n,80,1,87000.000
10872526@n,116,1,11700.000
108779015@n,217,1,56985.000
108915001@n,59,1,95400.000
10893097@n,77,1,65800.000
10912437@n,21,1,13900.000
109173297@n,212,1,36000.000
109293609@n,135,2,59600.000
10931152@n,117,1,36000.000
109322683@n,57,1,38900.000
109328480@n,68,2,171979.000
10940450@n,93,1,13900.000
109562494@n,208,1,12099.000
109597285@n,142,1,17900.000
10962397@n,10,2,78300.000
109775882@n,42,1,36900.000
109821260@n,61,1,15500.000
109881941@n,112,1,12700.000
109882957@n,111,1,36700.000
10989183@n,48,1,31800.000
10994947@n,15,1,36900.000
1100049927@g,64,1,65800.000
110021152@n,66,1,35700.000
110025838@n,19,1,22100.000
110073769@n,172,1,29800.000
11026447@n,75,1,53300.000
110269388@n,110,1,33900.000
110284475@n,9,1,49100.000
110408606@n,111,1,24000.000
11042265@n,27,1,40733.000
1104331@n,76,1,65800.000
110583373@n,89,1,16900.000
110771920@n,10,3,119973.000
110898523@n,60,1,31400.000
11102967@n,71,1,31700.000
11110783@n,72,1,31400.000
11115826@n,63,1,31300.000
111181951@n,91,1,39400.000
111229290@n,105,2,53100.000
11126263@n,200,1,45900.000
111313141@n,86,1,31800.000
111353133@n,118,1,47600.000
11136913@n,68,1,41568.000
11150720@n,59,1,32300.000
111569684@n,54,1,15900.000
111579067@n,5,2,37929.000
11162567@n,104,1,12900.000
11170739@n,217,1,33200.000
111717529@n,173,1,38800.000
111797576@n,47,1,9900.000
111807439@n,128,1,42800.000
11181804@n,69,1,32400.000
111911542@n,94,1,41900.000
11199275@n,187,1,40000.000
112018990@n,205,1,15200.000
11203673@n,36,1,33900.000
112075833@n,129,1,40900.000
11233680@n,61,1,32400.000
112407895@n,202,1,14500.000
112415436@n,140,1,30800.000
112435810@n,62,1,32400.000
11247825@n,34,1,14900.000
112555290@n,1,1,36739.000
112603393@n,217,1,33400.000
11260595@n,124,1,103000.000
112633192@n,122,1,147000.000
11277338@n,153,1,41000.000
112804268@n,21,1,19100.000
11285800@n,191,1,40715.000
1128604@n,28,1,21300.000
113105278@n,115,1,23000.000
113207167@n,173,1,28900.000
11328165@n,53,1,58200.000
113384592@n,50,1,60800.000
113428890@n,70,1,35400.000
11347023@n,100,1,13900.000
113540362@n,151,1,16900.000
113641524@n,2,3,128000.000
113725992@n,60,1,32400.000
11373862@n,53,1,37800.000
113745432@n,185,1,78800.000
113812339@n,45,1,48700.000
11400382@n,77,1,30300.000
114054137@n,76,1,33400.000
114177924@n,96,3,83970.000
11419434@n,83,2,67700.000
114213160@n,127,1,68800.000
11422393@n,51,1,38900.000
114227439@n,203,1,38800.000
114280276@n,57,1,17900.000
11439082@n,140,1,16900.000
114421553@n,60,1,32400.000
114422750@n,101,1,28500.000
114628746@n,72,1,32400.000
114681825@n,196,1,16900.000
11472360@n,104,1,149000.000
114826922@n,73,1,35400.000
114915627@n,106,1,23000.000
11494831@n,12,1,40900.000
114986258@n,6,1,38900.000
115109105@n,50,1,67300.000
115131834@n,2,1,36000.000
115258094@n,77,3,117400.000
11533530@n,197,1,40622.000
115357830@n,79,2,71133.000
115405625@n,60,1,49400.000
115441330@n,139,1,16900.000
11548134@n,121,1,31900.000
11550150@n,116,1,13900.000
115539670@n,35,1,13900.000
115554040@n,98,1,55700.000
115577465@n,116,1,35300.000
115644916@n,146,1,79800.000
11576582@n,104,1,38800.000
115880298@n,70,1,15500.000
11594112@n,36,1,38800.000
115983687@n,77,1,32400.000
115996385@n,28,1,62600.000
116089195@n,77,1,32400.000
11613249@n,79,2,71699.000
116166911@n,37,1,9900.000
116188490@n,112,1,11700.000
116211850@n,72,1,23300.000
11630212@n,9,1,11900.000
11630224@n,5,1,36900.000
116302470@n,99,1,38900.000
11631865@n,163,1,39500.000
11634872@n,74,1,33400.000
11645847@n,71,1,31520.000
116520103@n,76,1,29779.000
116560396@n,8,1,37900.000
11666974@n,170,1,60600.000
116774399@n,21,1,39900.000
11680220@n,79,1,40714.000
116928624@n,207,1,113002.000
11697571@n,207,1,35000.000
11702166@n,35,1,54200.000
117060571@n,80,5,157144.000
117065969@n,56,1,143500.000
11712616@n,83,1,31300.000
117139043@n,170,1,13900.000
117160900@n,197,2,46300.000
117191273@n,3,1,28300.000
11720403@n,115,1,49800.000
117320027@n,128,1,17900.000
11732536@n,204,1,53400.000
11733115@n,142,1,17900.000
11744644@n,217,1,34200.000
11749639@n,116,2,181150.000
11751797@n,21,1,10900.000
11754536@n,28,1,45800.000
11763063@n,86,1,40900.000
117735562@n,3,1,24900.000
11776555@n,217,1,73800.000
117821075@n,118,1,61800.000
11789314@n,185,1,40000.000
117913317@n,17,1,22100.000
117989277@n,35,1,24900.000
118002574@n,76,3,114355.000
118251827@n,82,1,41900.000
11839894@n,104,1,49800.000
11848146@n,102,1,57200.000
11850925@n,163,1,14900.000
118509722@n,71,2,45100.000
118647800@n,4,1,41000.000
118767825@n,134,1,15900.000
118783241@n,117,1,23000.000
118888756@n,70,1,32400.000
11898479@n,77,1,31300.000
119027211@n,125,1,41700.000
119106205@n,133,1,41900.000
11925565@n,77,1,32400.000
119418008@n,63,1,30300.000
1194789@n,127,1,51600.000
1194834@n,206,1,33200.000
119500749@n,163,1,37000.000
11964246@n,162,1,37100.000
119802548@n,96,2,60000.000
119935284@n,112,2,74800.000
1200948699@g,84,1,33900.000
120185622@n,79,1,16900.000
12021573@n,205,1,99065.000
12028179@n,211,1,35000.000
12038394@n,37,1,28900.000
12049956@n,201,1,30800.000
120687347@n,2,1,22100.000
12070635@n,83,2,34800.000
120831045@n,190,1,39900.000
12084251@n,130,1,40900.000
120859246@n,193,1,40900.000
120864479@n,101,1,26400.000
120951946@n,93,1,40739.000
12101574@n,65,1,31400.000
121063644@n,88,1,16900.000
121188452@n,114,1,11700.000
121256514@n,25,1,9900.000
12127314@n,57,1,37800.000
121460623@n,188,1,30300.000
12148095@n,64,1,25700.000
121505209@n,149,1,29800.000
12156188@n,205,1,34200.000
1215886@n,149,2,72900.000
121670063@n,205,1,17622.000
1217315987@g,212,1,141800.000
12203735@n,128,1,41900.000
122046802@n,112,1,48000.000
12213688@n,70,1,52433.000
12214143@n,22,1,36900.000
122265125@n,217,1,81400.000
122307515@n,40,1,74800.000
12238947@n,191,1,31900.000
122557182@n,126,1,79100.000
122698077@n,59,1,32400.000
12271303@n,62,1,16500.000
12291208@n,154,1,16900.000
123045083@n,59,1,35805.000
12310194@n,113,1,10700.000
12313222@n,101,1,36977.000
12317695@n,114,1,35700.000
12321620@n,76,1,30400.000
123295961@n,84,1,39283.000
12339917@n,134,1,61800.000
123476900@n,89,1,39773.000
123981480@n,60,1,31400.000
124074428@n,76,1,28200.000
12415665@n,205,1,34200.000
12416623@n,53,1,16775.000
124242913@n,108,1,59700.000
124267386@n,95,1,13900.000
