log_id,log_type,event_no,event_name,mall_id,trace_id,requested_time,request_endpoint,event_shop_no,member_id,success,response_http_code,response_body
qh6wpoYB_9fFJ2LuTH6v,G,90146,휴면해제,instinctus1,a4bcf6dc-6e04-4aae-ac08-afa1857d8da8,23-03-03 17:56:56,https://cheremimaka.com/,1,2099366264@k,T,,
y6h9poYByqcTYyeEOP6i,G,90146,휴면해제,instinctus1,b6edf7c8-c726-4ffb-bd74-dc4ffbdc4c8e,23-03-03 17:01:09,https://cheremimaka.com/,1,rlagustn528,T,,
_AY_poYB_9fFJ2LuvgYA,G,90146,휴면해제,instinctus1,76dc9e74-8fc2-43b2-8656-e94c22926ab4,23-03-03 15:54:00,https://cheremimaka.com/,1,1636138116@k,T,,
ey2dpYYBp0JdrY88AmXy,G,90146,휴면해제,instinctus1,0ec3ea73-b29b-4298-b629-5b586dd4e74b,23-03-03 12:56:15,https://cheremimaka.com/,1,midfight,T,,
snWBpYYByqcTYyeEuCon,G,90146,휴면해제,instinctus1,1fba0b8a-c479-4b88-8998-1347d6d7c55b,23-03-03 12:26:26,https://cheremimaka.com/,1,hjs1317,T,,
IVA7pYYBonVb0d_pG9RX,G,90146,휴면해제,instinctus1,551246b3-930e-4772-ac14-a89ddf6b73d8,23-03-03 11:09:19,https://cheremimaka.com/,1,1845066439@k,T,,
PlwXpYYByqcTYyeEAmGJ,G,90146,휴면해제,instinctus1,45001418-b450-430d-ab26-4d130d73464b,23-03-03 10:29:53,https://cheremimaka.com/,1,49772851@n,T,,
RAsOpYYBp0JdrY88AxLG,G,90146,휴면해제,instinctus1,c4b0e811-55f4-4273-896a-e28081b6a0a4,23-03-03 10:20:04,https://cheremimaka.com/,1,fuge107,T,,
ZBP7ooYBonVb0d_plYkk,G,90146,휴면해제,instinctus1,8804aa05-d53d-4e73-b51e-fa868ad05f8e,23-03-03 00:40:41,https://cheremimaka.com/,1,60828969@n,T,,
dwSWooYBonVb0d_pGavx,G,90146,휴면해제,instinctus1,e689eb40-0b4f-4473-a688-6e0e6870c78b,23-03-02 22:49:51,https://cheremimaka.com/,1,64215926@n,T,,
vv1sooYBonVb0d_pS-Lt,G,90146,휴면해제,instinctus1,d25b4e6d-30ed-4845-9526-164cef7440d3,23-03-02 22:04:11,https://cheremimaka.com/,1,rlaehdtjq101,T,,
-P1oooYBonVb0d_p-FZE,G,90146,휴면해제,instinctus1,4fdf9092-9626-41e1-af1f-edbee5c71ba4,23-03-02 22:00:33,https://cheremimaka.com/,1,zzcc20,T,,
rnxnooYB_9fFJ2LugIp8,G,90146,휴면해제,instinctus1,9ec56d26-ebf6-498c-97cf-512651d7ffd5,23-03-02 21:58:57,https://cheremimaka.com/,1,charaeng,T,,
Kg5RooYByqcTYyeErmDH,G,90146,휴면해제,instinctus1,6924284a-61d2-4e9e-aaf5-0146852855c0,23-03-02 21:35:07,https://cheremimaka.com/,1,khn6525,T,,
9PY_ooYBonVb0d_pjNQv,G,90146,휴면해제,instinctus1,6a8160ca-dae8-4295-aaee-eb4556603d37,23-03-02 21:15:18,https://cheremimaka.com/,1,dls6768,T,,
6agSooYBp0JdrY8814MR,G,90146,휴면해제,instinctus1,74f595a4-206a-4ffb-997b-b59764b80a4b,23-03-02 20:26:28,https://cheremimaka.com/,1,1609482604@k,T,,
GleSoYYBdKH2J-nnJKXD,G,90146,휴면해제,instinctus1,cdd1596a-f697-416e-bf6c-88fa01856d20,23-03-02 18:05:54,https://cheremimaka.com/,1,ghksrms0883,T,,
dE9uoYYBdKH2J-nnRKZ-,G,90146,휴면해제,instinctus1,5ffb565b-558b-4af2-8e6e-43229d6bc2d8,23-03-02 17:26:43,https://cheremimaka.com/,1,snyng87,T,,
KlFpoYYB_9fFJ2LubYeQ,G,90146,휴면해제,instinctus1,21630bf4-3f97-4f00-8296-3ba815bd843a,23-03-02 17:21:26,https://cheremimaka.com/,1,tmdgml1627,T,,
d8g9oYYBonVb0d_pxZbn,G,90146,휴면해제,instinctus1,da9cd4f6-8153-4df8-9fc9-13a4d5139712,23-03-02 16:33:45,https://cheremimaka.com/,1,51286827@n,T,,
j878oIYByqcTYyeEkxwP,G,90146,휴면해제,instinctus1,4e00f579-d2c0-43f3-bb3c-9a55e7cecd7d,23-03-02 15:22:32,https://cheremimaka.com/,1,ttakjee0705,T,,
vDPvoIYBdKH2J-nn9wdC,G,90146,휴면해제,instinctus1,70950cad-bd06-4b06-945a-b09adfdb4ec8,23-03-02 15:08:46,https://cheremimaka.com/,1,72551042@n,T,,
ZrHZoIYBonVb0d_p9hRc,G,90147,탈퇴,instinctus1,00f5b3e7-e231-4efd-bb34-9bb3312b4076,23-03-02 14:44:44,https://cheremimaka.com/,1,taeseun0620,T,,
JwY0oIYBdKH2J-nn4-yW,G,90146,휴면해제,instinctus1,95f1f844-ed6b-467c-9f25-c893f1356d53,23-03-02 11:44:25,https://cheremimaka.com/,1,hdem,T,,
leWzn4YBdKH2J-nnfAHD,G,90146,휴면해제,instinctus1,b9c8616c-3457-4753-8531-62080413da57,23-03-02 09:23:05,https://cheremimaka.com/,1,hyeongoon,T,,
8Basn4YBp0JdrY88yjxa,G,90146,휴면해제,instinctus1,1693ab32-c778-49de-8ec8-771c092e6ee0,23-03-02 09:15:46,https://cheremimaka.com/,1,joda3,T,,
veCBn4YB_9fFJ2LunSU-,G,90146,휴면해제,instinctus1,85c6f0df-c53a-4673-82c6-a4ba6e1686e2,23-03-02 08:28:36,https://cheremimaka.com/,1,jojehyeon1995,T,,
vkkznoYBonVb0d_pCS0L,G,90146,휴면해제,instinctus1,22272d6c-d7ba-4700-afdc-a21d7970e0fa,23-03-02 02:23:09,https://cheremimaka.com/,1,stxwtexa,T,,
zcQDnoYB_9fFJ2LuKaSx,G,90146,휴면해제,instinctus1,930cd32c-4655-4ebb-a276-27526c119b9d,23-03-02 01:30:52,https://cheremimaka.com/,1,2091624706@k,T,,
Y7_vnYYBdKH2J-nnPlgp,G,90146,휴면해제,instinctus1,a07abd82-8a4c-41fc-a50b-56010940d016,23-03-02 01:09:07,https://cheremimaka.com/,1,moonjabong16,T,,
-L_unYYBdKH2J-nnjEBQ,G,90146,휴면해제,instinctus1,b5521129-33e1-453d-9b4b-612427430d19,23-03-02 01:08:21,https://cheremimaka.com/,1,genius9915,T,,
