shop_no,coupon_no,coupon_type,coupon_name,coupon_description,created_date,deleted,is_stopped_issued_coupon,pause_begin_datetime,pause_end_datetime,benefit_text,benefit_type,benefit_price,benefit_percentage,benefit_percentage_round_unit,benefit_percentage_max_price,include_regional_shipping_rate,include_foreign_delivery,coupon_direct_url,issue_type,issue_sub_type,issue_member_join,issue_member_join_recommend,issue_member_join_type,issue_order_amount_type,issue_order_start_date,issue_order_end_date,issue_order_amount_limit,issue_order_amount_min,issue_order_amount_max,issue_order_path,issue_order_type,issue_order_available_product,issue_order_available_category,issue_anniversary_type,issue_anniversary_pre_issue_day,issue_module_type,issue_review_count,issue_review_has_image,issue_quantity_min,issue_quntity_type,issue_max_count,issue_max_count_by_user,issue_count_per_once,issued_count,issue_member_group_no,issue_member_group_name,issue_no_purchase_period,issue_reserved,issue_reserved_date,available_date,available_period_type,available_begin_datetime,available_end_datetime,available_site,available_scope,available_day_from_issued,available_price_type,available_order_price_type,available_min_price,available_amount_type,available_payment_method,available_product,available_product_list,available_category,available_category_list,available_coupon_count_by_order,serial_generate_method,coupon_image_type,coupon_image_path,show_product_detail,use_notification_when_login,send_sms_for_issue,send_email_for_issue
1,6074187062000000428,S,체레미 마카로 돌아와,휴면7일전 고객,2022-11-18 20:10:20,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"50.0% 할인,절사안함,최대할인금액 0KRW",B,,50.0,0.1,0.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,999999,,,345,,,,F,0000-00-00 00:00:00,발급일로부터 14일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,14,U,,,I,all,U,,U,,1,M,,,F,F,F,F
1,6074187027400000427,S,체레미 마카가 드리는 선물🎁,120일 고객,2022-11-18 20:04:34,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"35.0% 할인,절사안함,최대할인금액 0KRW",B,,35.0,0.1,0.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,999999,,,64,,,,F,0000-00-00 00:00:00,발급일로부터 10일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,10,U,,,I,all,U,,U,,1,M,,,F,F,F,F
1,6074004258600000383,O,사과 쿠폰🍎,,2022-10-28 16:23:11,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,3000KRW 할인,A,3000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,M,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,59,,,,F,0000-00-00 00:00:00,발급일로부터 30일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,30,U,,,I,all,U,,U,,1,,B,,F,T,T,T
1,6073813968100000365,O,암행여사 댓글 EVENT 당첨 쿠폰,암행여사 댓글 EVENT 당첨 쿠폰,2022-10-06 15:48:01,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"20.0% 할인,1,최대할인금액 0KRW",B,,20.0,1,0.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,M,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,10,,,,F,0000-00-00 00:00:00,발급일로부터 30일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,30,U,,,E,all,U,,U,,1,,B,,F,F,F,F
1,6073639360500000340,O,"Welcome 5,000원 쿠폰",,2022-09-16 10:46:45,F,F,2022-09-30 16:12:00,0000-00-00 00:00:00,5000KRW 할인,A,5000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,A,J,T,F,A,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,216,,,,F,0000-00-00 00:00:00,발급일로부터 30일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,30,O,U,50000.00,I,all,U,,U,,1,,B,,F,T,T,T
1,6073622572900000334,O,VIP 쿠폰팩,VIP 150000 이상 12000,2022-09-14 12:08:49,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,12000KRW 할인,A,12000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,R,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,6539,5,VIP,,T,2023-03-01 08:00:00,발급일로부터 당월 말일까지,M,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,,O,U,150000.00,I,all,U,,U,,1,,B,,F,T,T,F
1,6073613835200000333,O,Welcome 무료배송 쿠폰,Welcome 무료배송 쿠폰,2022-09-13 11:52:32,F,F,2022-09-30 16:12:00,0000-00-00 00:00:00,,J,,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,A,J,T,F,A,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,273,,,,F,0000-00-00 00:00:00,발급일로부터 30일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,30,U,,,I,all,U,,U,,1,,B,,F,T,T,T
1,6073545485800000320,O,VIP 쿠폰팩,VIP 쿠폰팩 70000 이상 5000,2022-09-05 14:01:55,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,5000KRW 할인,A,5000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,R,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,6539,5,VIP,,T,2023-03-01 08:00:00,발급일로부터 당월 말일까지,M,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,,O,U,70000.00,I,all,U,,U,,1,,B,,F,T,F,F
1,6073545490900000321,O,VIP 쿠폰팩,VIP 쿠폰팩 100000이상 7000,2022-09-05 14:01:49,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,7000KRW 할인,A,7000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,R,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,6539,5,VIP,,T,2023-03-01 08:00:00,발급일로부터 당월 말일까지,M,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,,O,U,100000.00,I,all,U,,U,,1,,B,,F,T,T,F
1,6073545473700000319,O,VIP 쿠폰팩,VIP 쿠폰팩 50000이상 2500원,2022-09-05 14:00:11,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,2500KRW 할인,A,2500.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,R,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,6539,5,VIP,,T,2023-03-01 08:00:00,발급일로부터 당월 말일까지,M,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,,O,U,30000.00,I,all,U,,U,,1,,B,,F,T,F,F
