shop_no,product_no,product_code,custom_product_code,product_name,eng_product_name,supply_product_name,internal_product_name,model_name,price_excluding_tax,price,retail_price,supply_price,display,selling,summary_description,adult_certification,made_in_code,product_weight,product_material,created_date,updated_date,sold_out,additional_price,shipping_fee_by_product,shipping_fee_type
1,278,P00000KS,O_SC_AU_10_1,아그로포레스트리® 이브콘돔 울트라씬,,,아그로포레스트리® 이브콘돔 울트라씬,,13091.00,14400.00,15400.00,0.00,T,T,풍부한 윤활제로 촉촉한 콘돔,F,KR,1.00,,22-07-14 16:34:54,23-02-24 11:30:35,F,0.00,F,M
1,277,P00000KR,O_SC_S_10_14,이브콘돔 슬림 14팩(140p),,,이브콘돔 슬림 14팩(140p),,130909.00,144000.00,208600.00,0.00,T,T,슬림 콘돔 대용량 세트,F,KR,1.00,,22-07-14 16:34:54,23-02-03 15:48:40,F,0.00,F,M
1,276,P00000KQ,O_S_C*_5,이브콘돔 슬림 3팩(30p),,,이브콘돔 슬림 3팩(30p),,35364.00,38900.00,44700.00,0.00,T,T,"딱 맞는 착용감, 보다 슬림해진 사이즈",F,KR,1.00,,22-07-14 16:34:54,23-02-03 15:48:16,F,0.00,F,M
1,275,P00000KP,O_G_CS_10,이브콘돔 슬림,,,이브콘돔 슬림,,12636.00,13900.00,14900.00,0.00,T,T,"딱 맞는 착용감, 보다 슬림해진 사이즈",F,KR,1.00,,22-07-14 16:34:54,23-02-13 10:25:27,F,0.00,F,M
1,274,P00000KO,O_SC_R_144_1,이브콘돔 리얼 0.035(144p),,,이브콘돔 리얼 0.035(144p),,140000.00,154000.00,228960.00,0.00,F,T,"0.03mm대의 얇기, 대용량 할인",F,KR,1.00,,22-07-14 16:34:54,23-02-03 15:39:25,F,0.00,F,M
1,273,P00000KN,O_SC_R_10_3,이브콘돔 리얼 0.035 3팩(30p),,,이브콘돔 리얼 0.035 3팩(30p),,38091.00,41900.00,47700.00,0.00,T,F,"0.03mm대의 얇기, 새로운 이브 리얼003",F,KR,1.00,,22-07-14 16:34:54,23-02-03 15:39:14,T,0.00,F,M
1,272,P00000KM,O_SC_L_10_14,이브콘돔 라지 14팩(140p),,,이브콘돔 라지 14팩(140p),,130909.00,144000.00,208600.00,0.00,T,T,라지 콘돔 대용량 세트,F,KR,1.00,,22-07-14 16:34:54,23-02-03 15:59:15,F,0.00,F,M
1,271,P00000KL,O_S_C*_4,이브콘돔 라지 3팩(30p),,,이브콘돔 라지 3팩(30p),,35364.00,38900.00,44700.00,0.00,T,T,"넉넉한 폭, 조임없는 사용감, 할인세트",F,KR,1.00,,22-07-14 16:34:54,23-02-03 15:50:10,F,0.00,F,M
1,270,P00000KK,O_G_CL_10,이브콘돔 라지,,,이브콘돔 라지,,12636.00,13900.00,14900.00,0.00,T,T,"넉넉한 폭, 조임없는 사용감",F,KR,1.00,,22-07-14 16:34:54,23-02-13 10:24:36,F,0.00,F,M
1,269,P00000KJ,O_SC_AD_144_1,아그로포레스트리® 이브콘돔 도티드(144p),,,아그로포레스트리® 이브콘돔 도티드(144p),,130909.00,144000.00,214560.00,0.00,T,T,"오돌토돌 섬세한 도트, 대용량 할인세트",T,KR,1.00,,22-07-14 16:34:54,23-02-03 15:42:11,F,0.00,F,M
