keyword,ctr,clkCnt,viewCnt,cpc,ccnt,avgRnk,id,impCnt,salesAmt
부부젤,4.82,50,0,1936,3,1.2,nkw-a001-01-000004768797593,1039,96778
질윤활,4.77,2,0,919,0,1.1,nkw-a001-01-000004768797594,42,1837
나이트젤,1.94,72,0,879,0,2,nkw-a001-01-000004768797595,3725,63294
마사지젤,0.8,65,0,2089,0,2.7,nkw-a001-01-000004768797597,8140,135762
마사지오일,0.14,1,0,2002,0,3.6,nkw-a001-01-000004768797598,754,2002
질건조증윤활제,4.86,115,0,2039,0,1.6,nkw-a001-01-000004768797599,2369,234487
질건조윤활제,4.96,209,0,2042,2,1.7,nkw-a001-01-000004768797600,4215,426712
여성용젤,9.64,37,0,1759,4,1.1,nkw-a001-01-000004768797601,384,65076
바디젤,1.41,16,0,1598,0,1.1,nkw-a001-01-000004768797602,1141,25575
러브오일,5.63,61,0,897,1,1.1,nkw-a001-01-000004777924619,1085,54736
성인용젤,10.12,26,0,1102,1,1,nkw-a001-01-000004777924622,257,28655
성인젤,8.39,43,0,947,2,1,nkw-a001-01-000004777924624,513,40722
성인용품젤,11.38,43,0,754,1,1,nkw-a001-01-000004777924626,378,32406
질윤활제,8.29,42,0,2112,3,1.5,nkw-a001-01-000004777924629,507,88704
성윤활제,16.28,21,0,500,1,1,nkw-a001-01-000004777924632,129,10505
남성젤,2.93,6,0,1034,0,1.1,nkw-a001-01-000004777924636,205,6204
수용성젤,1.58,52,0,1991,0,1.4,nkw-a001-01-000004777924638,3299,103532
러브로션,3.45,1,0,198,0,1,nkw-a001-01-000004777924639,29,198
섹스젤,10.03,38,0,478,0,1,nkw-a001-01-000004804473208,379,18172
러브잴,6.22,21,0,382,0,1,nkw-a001-01-000004804473211,338,8030
남성윤활제,11.91,5,0,493,2,1,nkw-a001-01-000004804473214,42,2464
휴대용젤,0,0,0,0,0,1.4,nkw-a001-01-000004884717963,16,0
일회용젤,0,0,0,0,0,2.1,nkw-a001-01-000004884717974,41,0
마사지겔,1.21,2,0,924,0,1.2,nkw-a001-01-000004884717975,166,1848
커플마사지,0.13,4,0,633,0,2,nkw-a001-01-000004884717977,3266,2530
여자젤,0,0,0,0,0,1.8,nkw-a001-01-000004884717979,38,0
이너젤,0,0,0,0,0,4.8,nkw-a001-01-000004884717983,4,0
생리컵,0.95,314,0,2045,6,1.9,nkw-a001-01-000004739264795,33091,642268
국내생리컵,0,0,0,0,0,2.3,nkw-a001-01-000004747193674,34,0
월경컵,1.3,11,0,1053,0,2.8,nkw-a001-01-000004747193675,849,11583
생리컵구매,0,0,0,0,0,2.8,nkw-a001-01-000004747193676,39,0
